sbu name, number of mofs built from it
connector_789, 1
connector_790, 1
connector_791, 1
connector_792, 1
connector_793, 6
connector_794, 1
connector_795, 6
connector_796, 1
connector_797, 1
connector_798, 1
connector_799, 1
connector_800, 1
connector_801, 4
connector_802, 1
connector_803, 1
connector_804, 1
connector_805, 2
connector_806, 1
connector_807, 32
connector_808, 1
connector_809, 4
connector_810, 3
connector_811, 19
connector_812, 11
connector_813, 1
connector_814, 1
connector_815, 4
connector_816, 1
connector_817, 1
connector_818, 4
connector_819, 1
connector_820, 2
connector_821, 1
connector_822, 3
connector_823, 1
connector_824, 2
connector_825, 1
connector_826, 3
connector_827, 2
connector_828, 17
connector_829, 22
connector_830, 1
connector_831, 1
connector_832, 1
connector_833, 2
connector_834, 1
connector_835, 2
connector_836, 1
connector_837, 1
connector_838, 1
connector_839, 1
connector_840, 4
connector_841, 1
connector_842, 1
connector_843, 2
connector_844, 2
connector_845, 1
connector_846, 6
connector_847, 1
connector_848, 1
connector_849, 2
connector_850, 2
connector_851, 15
connector_852, 1
connector_853, 3
connector_854, 2
connector_855, 1
connector_856, 1
connector_857, 1
connector_858, 2
connector_859, 1
connector_860, 5
connector_861, 1
connector_862, 2
connector_863, 16
connector_864, 1
connector_865, 1
connector_866, 1
connector_867, 1
connector_868, 1
connector_869, 1
connector_870, 1
connector_871, 1
connector_872, 1
connector_873, 3
connector_874, 1
connector_875, 2
connector_876, 2
connector_877, 1
connector_878, 12
connector_879, 2
connector_880, 1
connector_881, 4
connector_882, 1
connector_883, 3
connector_884, 1
connector_885, 1
connector_886, 7
connector_887, 2
connector_888, 2
connector_889, 2
connector_890, 2
connector_891, 1
connector_892, 17
connector_893, 6
connector_894, 2
connector_895, 2
connector_896, 1
connector_897, 1
connector_898, 1
connector_899, 2
connector_900, 6
connector_901, 3
connector_902, 1
connector_903, 12
connector_904, 3
connector_905, 1
connector_906, 1
connector_907, 3
connector_908, 1
connector_909, 2
connector_910, 1
connector_911, 1
connector_912, 2
connector_913, 1
connector_914, 1
connector_915, 1
connector_916, 1
connector_917, 1
connector_918, 1
connector_919, 2
connector_920, 3
connector_921, 1
connector_922, 1
connector_923, 1
connector_924, 24
connector_925, 1
connector_926, 1
connector_927, 2
connector_928, 1
connector_929, 1
connector_930, 1
connector_931, 2
connector_932, 2
connector_933, 5
connector_934, 5
connector_935, 2
connector_936, 1
connector_937, 1
connector_938, 1
connector_939, 3
connector_940, 1
connector_941, 1
connector_942, 1
connector_943, 1
connector_944, 1
connector_945, 1
connector_946, 2
connector_947, 1
connector_948, 1
connector_949, 1
connector_950, 1
connector_951, 1
connector_952, 1
connector_953, 1
connector_954, 6
connector_955, 5
connector_956, 1
connector_957, 1
connector_958, 1
connector_959, 7
connector_960, 5
connector_961, 1
connector_962, 1
connector_963, 2
connector_964, 2
connector_965, 5
connector_966, 1
connector_967, 1
connector_968, 1
connector_969, 3
connector_970, 3
connector_971, 6
connector_972, 1
connector_973, 9
connector_974, 1
connector_975, 7
connector_976, 1
connector_977, 3
connector_978, 1
connector_979, 3
connector_980, 1
connector_981, 14
connector_982, 8
connector_983, 3
connector_984, 1
connector_985, 1
connector_986, 5
connector_987, 3
connector_988, 1
connector_989, 1
connector_990, 2
connector_991, 4
connector_992, 8
connector_993, 1
connector_994, 1
connector_995, 1
connector_996, 2
connector_997, 2
connector_998, 1
connector_999, 1
connector_1000, 1
connector_1001, 1
connector_1002, 1
connector_1003, 40
connector_1004, 1
connector_1005, 1
connector_1006, 1
connector_1007, 8
connector_1008, 1
connector_1009, 3
connector_1010, 1
connector_1011, 2
connector_1012, 8
connector_1013, 8
connector_1014, 1
connector_1015, 3
connector_1016, 1
connector_1017, 4
connector_1018, 1
connector_1019, 1
connector_1020, 5
connector_1021, 5
connector_1022, 1
connector_1023, 1
connector_1024, 1
connector_1025, 2
connector_1026, 3
connector_1027, 2
connector_1028, 1
connector_1029, 3
connector_1030, 2
connector_1031, 3
connector_1032, 1
connector_1033, 2
connector_1034, 1
connector_1035, 1
connector_1036, 1
connector_1037, 1
connector_1038, 2
connector_1039, 2
connector_1040, 1
connector_1041, 15
connector_1042, 4
connector_1043, 3
connector_1044, 1
connector_1045, 1
connector_1046, 1
connector_1047, 1
connector_1048, 1
connector_1049, 1
connector_1050, 3
connector_1051, 1
connector_1052, 2
connector_1053, 1
connector_1054, 3
connector_1055, 1
connector_1056, 1
connector_1057, 3
connector_1058, 2
connector_1059, 1
connector_1060, 5
connector_1061, 2
connector_1062, 1
connector_1063, 3
connector_1064, 1
connector_1065, 1
connector_1066, 1
connector_1067, 3
connector_1068, 7
connector_1069, 1
connector_1070, 4
connector_1071, 1
connector_1072, 15
connector_1073, 1
connector_1074, 5
connector_1075, 3
connector_1076, 1
connector_1077, 6
connector_1078, 1
connector_1079, 2
connector_1080, 4
connector_1081, 1
connector_1082, 2
connector_1083, 1
connector_1084, 1
connector_1085, 1
connector_1086, 1
connector_1087, 4
connector_1088, 3
connector_1089, 3
connector_1090, 1
