mof label, metal(s)
MINVUA_SL, Cr-O(H)-Cr
MISQIQ01_clean, Al-O(H)-Al
MISQIQ02_clean, Al-O(H)-Al
MISQIQ03_clean, Al-O(H)-Al
MISQIQ04_clean, Al-O(H)-Al
MISQIQ05_clean, Al-O(H)-Al
MISQIQ06_clean, Al-O(H)-Al
MISQIQ07_clean, Al-O(H)-Al
MISQIQ_clean, Al-O(H)-Al
MOGVAG_clean, Zn-O(H)-Zn
MOSGIM_clean, Zn-O(H)-Zn
MOYMET_clean, Co-O(H)-Co
MUBZOA_auto, Zr-O(H)-Zr
MUBZUG_auto, Zr-O(H)-Zr
MUGHED_clean, Zn-O(H)-Zn
MULQOA_clean, Zn-O(H)-Zn
MUVMOG_clean, Ga-O(H)-Ga
MUZRIJ_clean, Cu-O(H)-Cu
NAGBUU_clean, Co-O(H)-Co
NAKLIW_clean, Zn-O(H)-Zn
NAPNEA_clean, Zn-O(H)-Zn
NATXIR_clean, Er-O(H)-Er
NAYMOQ_clean, Na-O(H)-Na
NAYZUK_SL, In-O(H)-In
NERVEL_clean, Co-O(H)-Co
NERVOV_clean, Co-O(H)-Co
NEVVAM01_clean, Co-O(H)-Co
NEVVAM02_clean, Co-O(H)-Co
NEVVAM_clean, Co-O(H)-Co
NICJUG_clean, Ba-O(H)-Ba
NIJTOR_clean, Co-O(H)-Co
NIMWUD_clean, Cd-O(H)-Cd
NIYZIG_clean, Zn-O(H)-Zn
NOHSUA_clean, Ca-O(H)-Ca
NOQPAM_clean, Ba-O(H)-Ba
NORBUT_clean, Ba-O(H)-Ba
NORGOS_clean, Ba-O(H)-Ba
NUDLIJ_clean, Mg-O(H)-Mg
NUDMAC_clean, Mg-O(H)-Mg
NUDMEG_clean, Mg-O(H)-Mg
NUDMOQ_clean, Mg-O(H)-Mg
NUDMUW_clean, Mg-O(H)-Mg
NUDNEH_clean, Mg-O(H)-Mg
NUFBOH_clean, Zn-O(H)-Zn
OBOGUK_clean, Zn-O(H)-Zn
OBUFIB_SL, Zn-O(H)-Zn
OCUPUY_clean, V-O(H)-V
OCUQIN_clean, V-O(H)-V
OCUQOT_clean, V-O(H)-V
OCUQUZ_clean, V-O(H)-V
OCURAG_clean, V-O(H)-V
OCUSOV_clean, V-O(H)-V
OCUTEM_clean, V-O(H)-V
ODODIW_clean, Zn-O(H)-Zn
OFUYUL_SL, Zn-O(H)-Zn
OGAQES_clean, Ba-O(H)-Ba
OGUPIQ_clean, Co-O(H)-Co
OKELIB_clean, Ni-O(H)-Ni
OKINIG_clean, Li-O(H)-Li
OKITAE_clean, Cd-O(H)-Cd
OLONAG_clean, Sr-O(H)-Sr
OMEWUZ_clean, Ba-O(H)-Ba
OPINIL_clean, Dy-O(H)-Cs
OPIXUI_clean, Cu-O(H)-Cu
OPIYAP_clean, Cu-O(H)-Cu
ORULEU_clean, Co-O(H)-Co
OTECAT_clean, Al-O(H)-Al
OTEGUR_clean, In-O(H)-In
OTEHAY_clean, In-O(H)-In
OTIBUQ_clean, Al-O(H)-Al
OVIZOJ_clean, Ni-O(H)-Ni
OWIHEJ_clean, In-O(H)-In
OWIHIN_clean, In-O(H)-In
OWIHUZ_clean, In-O(H)-In
OWIJAH_clean, In-O(H)-In
OWIJEL_clean, In-O(H)-In
OWIJIP_clean, In-O(H)-In
OWIJOV_clean, In-O(H)-In
OXALUV_SL, In-O(H)-In
OXAZIX_clean, Pr-O(H)-Pr
OXOLAP_SL, Zr-O(H)-Zr
OXUNEB_clean, Mo-O(H)-Mo
OYEWIA_clean, Al-O(H)-Al
PASNAA01_clean, Co-O(H)-Co
PASNAA_clean, Co-O(H)-Co
PEWGEF_clean, Cu-O(H)-Cu
PIKBUH_clean, Rb-O(H)-Rb
POBYAH_charged, Ni-O(H)-Ni
POCPAZ_clean, Co-O(H)-Co
POLBAT_clean, Ga-O(H)-Ga
PORVID_clean, Cu-O(H)-Cu
PUNFIO_clean, Cd-O(H)-Cd
PUQHEP_clean, Co-O(H)-Co
PUQHIT_SL, Zn-O(H)-Zn
PUWCOZ_clean, Ni-O(H)-Ni
QALGUH_SL, Cr-O(H)-Cr
QANSUV_clean, Cu-O(H)-Cu
QEBKUF_SL, Zn-O(H)-Zn
QEWDON_clean, Zn-O(H)-Zn
QIQTAN_clean, Ni-O(H)-Ni
QIRYAS_clean, Co-O(H)-Co
QISKIN_clean, K-O(H)-K
QITDII_clean, Mn-O(H)-Mn
QIWPET_clean, Mg-O(H)-Mg
QOHYET_clean, Ce-O(H)-Ce
QOMDUS_clean, Zn-O(H)-Zn
QONQEQ_manual, Al-O(H)-Al
QOPHEI_clean, Co-O(H)-Co
QOTWON_clean, Mn-O(H)-Mn
QOVWOO01_clean, Ga-O(H)-Ga
QOVWOO_SL, Ga-O(H)-Ga
QOXNIB_clean, Cu-O(H)-Cu
QOYLOG_clean, Ni-O(H)-Ni
QUFKIN_clean, Co-O(H)-Co
QUFTAM_clean, Na-O(H)-Cu
QULMIU_clean, In-O(H)-In
QUQHAM_clean, Cu-O(H)-Cu
QUSSII_clean, Zn-O(H)-Zn
QUTTII_clean, Co-O(H)-Co
QUZZES_clean, Mg-O(H)-Mg
RAJFAM_clean, Co-O(H)-Co
RAJFEQ_clean, Co-O(H)-Co
REDROI_clean, Zn-O(H)-Zn
REGJIW01_clean, Co-O(H)-Co
REGJIW02_clean, Co-O(H)-Co
REGJIW_clean, Co-O(H)-Co
RIGVOU_clean, Eu-O(H)-Eu
ROGSAI_clean, Ni-O(H)-Ni
ROJNEJ_clean, V-O(H)-V
RUBTAK01_SL, Zr-O(H)-Zr
RUBTAK03_auto, Zr-O(H)-Zr
RUFZID_clean, Cu-O(H)-Cu
RUHCED_SL, Ga-O(H)-Ga
RUJGOT_clean, Mn-O(H)-Mn
SABVOH01_clean, Al-O(H)-Al
SABVOH_manual, Al-O(H)-Al
SABVUN_clean_h_min, Al-O(H)-Al
SABWAU01_clean, Al-O(H)-Al
SABWAU_SL, Al-O(H)-Al
SADMUH_SL, Fe-O(H)-Fe
SAHXAD_clean, Zn-O(H)-Zn
SETQOZ_SL, Fe-O(H)-Fe
SETQUF_SL, Fe-O(H)-Fe
SICDAL_clean, Ga-O(H)-Ga
SIKJOM_clean, Cu-O(H)-Cu
SISFEH_clean, Sr-O(H)-Sr
SISPUH_clean, Gd-O(H)-Gd
SISQAO_clean, Eu-O(H)-Eu
SISQES_clean, Sm-O(H)-Sm
SISQIW_clean, Nd-O(H)-Nd
SIWTEZ_clean, Co-O(H)-Co
SODQOT_clean, Cu-O(H)-Cu
SODXUG_clean, Co-O(H)-Co
TAKTIL_clean, Ga-O(H)-Ga
TAKTOR_clean, Fe-O(H)-Fe
TAKVAF_clean, Fe-O(H)-Fe
TAKZEN_clean, Zn-O(H)-Zn
TAWHOO_clean, Al-O(H)-Al
TIJPOT_clean, Cu-O(H)-Cu
TIQGEG01_clean, Cu-O(H)-Cu
TIQGEG_clean, Cu-O(H)-Cu
TIQGIK_clean, Cu-O(H)-Cu
TIVFAG_clean, Cu-O(H)-Cu
TIVFEK_clean, Cu-O(H)-Cu
TIVFIO_clean, Cu-O(H)-Cu
TOJVIZ_clean, Co-O(H)-Co
TOLGOR_clean, Cd-O(H)-Cd
TONMAM_clean, Ba-O(H)-Ba
TONMEQ_clean, Ba-O(H)-Ba
TOXMUQ_clean, Al-O(H)-Al
TOXNEB_clean, Al-O(H)-Al
TOXNIF_clean, Al-O(H)-Al
TUGFAE_clean, Ni-O(H)-Ni
TUGTAR_clean, Cu-O(H)-Cu
UCEGAM_clean, Eu-O(H)-Cs
UCEGEQ_clean, Tb-O(H)-Cs
UFITEJ_clean, Fe-O(H)-Fe
UGEPEB01_clean, Cu-O(H)-Cu
UGEPEB_clean, Cu-O(H)-Cu
UMABIV_clean, Cd-O(H)-Cd
UMARAC_charged, Cu-O(H)-Cu
UMELAB_clean, Sm-O(H)-Sm
UMEPOT_clean, Nd-O(H)-Nd
